City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Atuona,PF,79.05,scattered clouds,-9.8,-139.0333,Villa Enata
6,Rikitea,PF,77.99,clear sky,-23.1203,-134.9692,People ThankYou
9,Hermanus,ZA,70.81,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
11,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
14,Kahului,US,73.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
16,Sabang,ID,84.07,broken clouds,5.8933,95.3214,Hotel Citra
20,Arraial Do Cabo,BR,71.46,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
21,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
27,Umm Lajj,SA,83.59,overcast clouds,25.0213,37.2685,Moon light Furnished Units
29,Mahibadhoo,MV,84.76,overcast clouds,3.7833,72.9667,Omadhoo Inn
30,San Patricio,US,81.18,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
31,East London,ZA,70.84,broken clouds,-33.0153,27.9116,Tu Casa
32,Eyl,SO,84.99,scattered clouds,7.9803,49.8164,Amiin Hotel
44,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
45,San Juan Del Sur,NI,81.7,broken clouds,11.2529,-85.8705,Nuestra Casa
47,The Valley,AI,84.34,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
49,Ahuimanu,US,73.2,broken clouds,21.4447,-157.8378,Paradise Bay Resort
51,Georgetown,MY,84.13,heavy intensity rain,5.4112,100.3354,Cititel Penang
54,Bambous Virieux,MU,79.05,moderate rain,-20.3428,57.7575,Casa Tia Villa
56,Puerto Rico,AR,76.91,clear sky,-26.796,-55.024,Hotel Cabañas del Prado
61,Cape Town,ZA,73.35,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
63,Victoria,HK,73.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
65,Hilo,US,75.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
66,Sao Filipe,CV,72.1,broken clouds,14.8961,-24.4956,Hotel Xaguate
67,Hithadhoo,MV,83.5,broken clouds,-0.6,73.0833,Scoop Guest House
68,Awbari,LY,75.81,broken clouds,26.5921,12.7805,فندق أوباري
72,Butaritari,KI,81.32,few clouds,3.0707,172.7902,Isles Sunset Lodge
73,Padilla,CO,74.77,broken clouds,3.2204,-76.3139,La Granadina
74,Sampit,ID,76.51,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
77,Samarai,PG,82.02,overcast clouds,-10.6167,150.6667,Nuli Sapi
79,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
84,Mareeba,AU,70.52,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
89,Avanigadda,IN,84.18,scattered clouds,16.0215,80.9181,AP Camping
93,Fare,PF,80.44,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
94,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
97,Manoel Urbano,BR,80.26,scattered clouds,-8.8389,-69.2597,Baixada Beira Rio
99,Mazatlan,MX,70.92,broken clouds,23.2167,-106.4167,Hotel La Siesta
101,Ankazoabo,MG,83.08,broken clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
102,Puerto Escondido,MX,85.41,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
105,Jardim,BR,79.11,scattered clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
106,Cidreira,BR,70.05,overcast clouds,-30.1811,-50.2056,Hotel Castelo
110,Dakar,SN,83.28,scattered clouds,14.6937,-17.4441,Novotel Dakar
113,Kavieng,PG,82.89,broken clouds,-2.5744,150.7967,Nusa Island Retreat
114,Berberati,CF,76.59,light rain,4.2612,15.7922,MAIRIE DE BERBERATI
123,Alofi,NU,81.57,broken clouds,-19.0595,-169.9187,Taloa Heights
124,Chuy,UY,70.88,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
126,Trairi,BR,85.26,broken clouds,-3.2778,-39.2689,janelas do mar
127,Moura,PT,78.33,overcast clouds,38.1401,-7.4486,Hotel de Moura
130,Sur,OM,89.94,broken clouds,22.5667,59.5289,Sur Plaza Hotel
132,Namibe,AO,77.72,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
135,Pochutla,MX,87.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
138,Ha Tinh,VN,72.93,overcast clouds,18.3333,105.9,Phú Quý
139,Kanke,IN,86.02,haze,23.4333,85.3167,Holiday Home
151,Moron,AR,70.95,light rain,-34.6534,-58.6198,Hotel Morón
152,Progreso,MX,85.1,clear sky,21.2833,-89.6667,Playa Linda Hotel
154,Cabo San Lucas,MX,80.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
155,Khash,IR,79.09,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
157,Yangjiang,CN,70.75,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
160,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
163,Ponta Do Sol,PT,75.83,overcast clouds,32.6667,-17.1,Hotel do Campo
166,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
167,Bengkulu,ID,78.87,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
168,Cockburn Town,TC,77.83,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
171,Meulaboh,ID,79.54,light rain,4.1363,96.1285,Kost Pria
178,Quatre Cocos,MU,78.91,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
183,Lahad Datu,MY,75.61,broken clouds,5.0268,118.327,The 27th House
186,Vanimo,PG,78.91,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
187,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
195,Barra Do Garcas,BR,81.1,broken clouds,-15.89,-52.2567,Pousada Tropical
196,Itarema,BR,85.3,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
205,Karratha,AU,85.6,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
206,Vila Velha,BR,78.94,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
207,Jabinyanah,TN,72.19,scattered clouds,35.035,10.9081,maison belmabrouk
209,Axim,GH,82.58,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
210,Sri Aman,MY,74.88,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
219,Mananjary,MG,76.51,clear sky,-21.2167,48.3333,Vahiny Lodge
221,Grand Gaube,MU,79.2,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
228,Tabou,CI,77.56,overcast clouds,4.423,-7.3528,hotêl doufoulougou
229,Bocanda,CI,82.9,overcast clouds,7.0626,-4.4995,Résidence Hôtel
231,Kimbe,PG,76.05,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
233,Isiro,CD,77.76,light rain,2.7739,27.616,Guest House Hewa Bora
